All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,GPIO16,,GPIO16,SPIA_SIMO,CANB_TX,OUTPUTXBAR7,GPIO16,EPWM5_A,SCIA_TX,SD1_D1,GPIO16,EQEP1_STROBE,PMBUSA_SCL,XCLKOUT,GPIO16,,,
34,GPIO17,,GPIO17,SPIA_SOMI,CANB_RX,OUTPUTXBAR8,GPIO17,EPWM5_B,SCIA_RX,SD1_C1,GPIO17,EQEP1_INDEX,PMBUSA_SDA,,GPIO17,,,
35,GPIO24,GPIO24,GPIO24,OUTPUTXBAR1,EQEP2_A,,GPIO24,EPWM8_A,SPIB_SIMO,SD1_D1,GPIO24,,PMBUSA_SCL,SCIA_TX,GPIO24,ERRORSTS,,
36,TCK,TCK
37,GPIO37/TDO,,GPIO37,OUTPUTXBAR2,,I2CA_SCL,GPIO37,SCIA_TX,CANA_TX,LINA_TX,GPIO37,EQEP1_B,PMBUSA_ALERT,,GPIO37,,,TDO
38,TMS,TMS
39,GPIO35/TDI,,GPIO35,SCIA_RX,,I2CA_SDA,GPIO35,CANA_RX,PMBUSA_SCL,LINA_RX,GPIO35,EQEP1_A,PMBUSA_CTL,,GPIO35,,,TDI
40,GPIO32,,GPIO32,I2CA_SDA,,SPIB_CLK,GPIO32,EPWM8_B,LINA_TX,SD1_D3,GPIO32,FSIRXA_D0,CANA_TX,,GPIO32,,,
41,GPIO18_X2,,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM6_A,I2CA_SCL,SD1_D2,GPIO18,EQEP2_A,PMBUSA_CTL,XCLKOUT,GPIO18,,,
42,X1,X1
43,VDDIO,VDDIO
44,VDD,VDD
45,VSS,VSS
46,VREGENZ,VREGENZ
47,GPIO8,,GPIO8,EPWM5_A,CANB_TX,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_SIMO,GPIO8,I2CA_SCL,FSITXA_D1,,GPIO8,,,
48,GPIO4,,GPIO4,EPWM3_A,,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,,FSIRXA_CLK,,GPIO4,,,
49,GPIO3,,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,PMBUSA_SCL,SPIA_CLK,GPIO3,SCIA_RX,FSIRXA_D0,,GPIO3,,,
50,GPIO2,,GPIO2,EPWM2_A,EMU1,,GPIO2,OUTPUTXBAR1,PMBUSA_SDA,,GPIO2,SCIA_TX,FSIRXA_D1,,GPIO2,,,
51,GPIO1,,GPIO1,EPWM1_B,EMU0,,GPIO1,,I2CA_SCL,,GPIO1,,,,GPIO1,,,
52,GPIO0,,GPIO0,EPWM1_A,,,GPIO0,,I2CA_SDA,,GPIO0,,,,GPIO0,,,
53,VDDIO_SW,VDDIO_SW
54,GPIO23_VSW,,GPIO23,,,,,,,,,,,,,,,
55,VSS_SW,VSS_SW
56,GPIO22_VFBSW,,GPIO22,EQEP1_STROBE,,SCIB_TX,GPIO22,,SPIB_CLK,SD1_D4,GPIO22,LINA_TX,,,GPIO22,,,
57,GPIO7,,GPIO7,EPWM4_B,,OUTPUTXBAR5,GPIO7,EQEP1_B,CANB_RX,SPIB_SIMO,GPIO7,FSITXA_CLK,,,GPIO7,,,
58,VSS,VSS
59,VDD,VDD
60,VDDIO,VDDIO
61,GPIO5,,GPIO5,EPWM3_B,,OUTPUTXBAR3,GPIO5,,CANA_RX,SPIA_STE,GPIO5,FSITXA_D1,,,GPIO5,,,
62,GPIO9,,GPIO9,EPWM5_B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP1_INDEX,SCIA_RX,SPIA_CLK,GPIO9,,FSITXA_D0,,GPIO9,,,
63,GPIO10,,GPIO10,EPWM6_A,CANB_RX,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SPIA_SOMI,GPIO10,I2CA_SDA,FSITXA_CLK,,GPIO10,,,
64,GPIO6,,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,CANB_TX,SPIB_SOMI,GPIO6,FSITXA_D0,,,GPIO6,,,
